AAPL
MSFT
AMZN
TSLA
GOOGL
GOOG
META
NVDA
UNH
JNJ
V
WMT
PG
JPM
XOM
MA
CVX
HD
BAC
KO
PFE
LLY
ABBV
COST
AVGO
PEP
TMO
VZ
DIS
CSCO
MRK
ABT
CMCSA
ACN
ORCL
NKE
ADBE
DHR
INTC
MCD
WFC
CRM
UPS
TMUS
LIN
TXN
BMY
NEE
PM
MS
QCOM
RY
RTX
UNP
AMD
MDT
BX
SCHW
AXP
CVS
T
TD
LOW
SPGI
AMGN
INTU
HON
DE
COP
PLD
CAT
IBM
AMT
LMT
TGT
GS
PYPL
ISRG
BA
BLK
ABNB
C
SYK
AMAT
NOW
GE
NFLX
MO
EL
ADP
ENB
CHTR
SBUX
BKNG
MDLZ
CB
CNI
DUK
ZTS
MMC
