AAPL
MSFT
AMZN
TSLA
GOOGL
GOOG
META
NVDA
UNH
JNJ
V
WMT
PG
JPM
XOM
MA
CVX
HD
BAC
KO
PFE
LLY
ABBV
COST
AVGO
PEP
TMO
VZ
DIS
CSCO
MRK
ABT
CMCSA
ACN
ORCL
NKE
ADBE
DHR
INTC
MCD
WFC
CRM
UPS
TMUS
LIN
TXN
BMY
NEE
PM
MS
QCOM
RY
RTX
UNP
AMD
MDT
BX
SCHW
AXP
CVS
T
TD
LOW
SPGI
AMGN
INTU
HON
DE
COP
PLD
CAT
IBM
AMT
LMT
TGT
GS
PYPL
ISRG
BA
BLK
ABNB
C
SYK
AMAT
NOW
GE
NFLX
MO
EL
ADP
ENB
CHTR
SBUX
BKNG
MDLZ
CB
CNI
DUK
ZTS
MMC
BAM
CCI
MMM
CI
CME
ADI
HCA
BNS
MU
SO
CNQ
GILD
EW
USB
TJX
REGN
CSX
BDX
BMO
PNC
PSA
VRTX
CP
FCX
NOC
EOG
AON
D
EQIX
TFC
NSC
ICE
GD
CL
TEAM
BSX
LRCX
WM
SQ
PGR
SHOP
SHW
FISV
NEM
UBER
F
ITW
FIS
NTR
MAR
MCO
PANW
ATVI
PXD
UBS
GM
MRNA
SLB
MET
ETN
DG
HUM
SNOW
COF
EMR
OXY
TRP
WBD
SCCO
WDAY
ADM
APD
FTNT
SRE
MELI
FDX
ILMN
KDP
BCE
MRVL
CM
KHC
ECL
KLAC
TRI
AIG
AEP
CNC
CRWD
MPC
PAYX
KKR
SNAP
LHX
MCK
DOW
SU
ROP
ORLY
EXC
DXCM
LULU
HSY
NXPI
SNPS
VMW
IQV
JCI
RHHBF
PRU
HLT
NUE
STLA
CTSH
SYY
CMG
MNST
GOLD
KMI
O
AZO
CTVA
WELL
VLO
ADSK
GIS
CDNS
WMB
ADDDF
SPG
DLR
APH
AFL
IDXX
CTAS
KMB
DVN
PSX
TRV
STZ
RSG
KR
MFC
HPQ
DDOG
TEL
XEL
RACE
GPN
WBA
SBAC
MSCI
ALC
ALL
MSI
BAX
DLTR
ANET
A
MCHP
AJG
ROST
BK
PEG
TU
DELL
PH
CARR
CVE
LYB
BKR
YUM
TT
WCN
DD
RMD
HES
TDG
TSN
TWTR
HAL
APO
AVB
LNG
DASH
EQR
ED
EA
ABC
IMO
VRSK
LCID
NET
DFS
AMP
WEC
NU
ALGN
OKE
FAST
ARE
TROW
RIVN
TTD
BIIB
COIN
EBAY
